Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wii,2014,1.82,2.25,0.0,0.36,4.44
Wii,2015,0.57,0.87,0.0,0.12,1.55
WiiU,2012,9.13,5.25,2.13,1.28,17.84
WiiU,2013,10.15,6.6,3.54,1.52,21.84
WiiU,2014,10.78,6.49,3.16,2.11,22.51
WiiU,2015,6.77,4.9,3.41,1.29,16.38
WiiU,2016,1.49,0.99,0.55,0.25,3.29
X360,2005,6.89,0.51,0.28,0.63,8.32
X360,2006,35.16,11.12,1.2,4.46,51.88
X360,2007,62.95,22.58,1.52,8.74,95.84
X360,2008,82.44,38.64,1.89,12.69,135.76
X360,2009,73.97,33.91,1.95,11.09,120.85
X360,2010,107.21,47.42,2.11,14.21,171.05
X360,2011,86.7,43.85,1.78,12.75,145.12
X360,2012,58.32,33.17,1.06,8.27,100.88
X360,2013,53.13,28.56,0.43,7.44,89.61
X360,2014,20.09,13.08,0.08,3.18,36.42
X360,2015,7.11,4.77,0.0,1.14,13.05
X360,2016,0.36,0.4,0.0,0.07,0.83
XB,2000,0.74,0.21,0.0,0.04,0.99
XB,2001,16.61,4.65,0.37,0.63,22.24
XB,2002,34.05,11.78,0.49,1.69,48.15
XB,2003,39.34,13.49,0.3,1.91,55.16
XB,2004,48.47,14.62,0.2,2.13,65.5
XB,2005,34.84,12.49,0.02,1.73,49.17
XB,2006,7.47,2.25,0.0,0.32,10.15
XB,2007,0.41,0.12,0.0,0.02,0.55
XB,2008,0.13,0.04,0.0,0.01,0.18
XOne,2013,11.8,5.29,0.02,1.5,18.6
XOne,2014,30.41,17.75,0.14,4.14,52.43
XOne,2015,34.29,17.98,0.17,5.23,57.66
XOne,2016,6.69,4.63,0.01,1.05,12.37
